Paises,Goles Metidos,Goles Encajados,Tiros a Puerta,Penaltis Lanzados,Posesion por Partido,Entradas/Lances Ganados
 Italy ,13,4,127,34,48,48
 England ,11,2,63,2,52,52
 Ukraine ,6,10,51,0,47,47
 Czech Republic ,6,4,56,0,47,47
 Belgium ,9,3,48,0,52,52
 Switzerland ,8,9,67,6,53,53
 Sweden ,5,4,41,0,44,44
 France ,7,6,56,4,54,54
 Croatia ,7,8,42,0,50,50
 Netherlands ,8,4,52,0,52,52
 Wales ,3,6,39,0,47,47
 Portugal ,7,7,51,0,54,54
 Germany ,6,7,49,0,46,46
 Slovakia ,2,7,24,0,49,49
 Finland ,1,3,19,0,46,46
 Russia ,2,7,25,0,51,51
 North Macedonia ,2,8,33,0,47,47
 Spain ,13,6,115,23,52,52
 Hungary ,3,6,19,0,44,44
 Denmark ,12,7,92,0,52,52
 Turkey ,1,8,40,0,46,46
 Poland ,4,6,40,0,54,54
 Scotland ,1,5,41,0,49,49
 Austria ,5,5,53,0,51,51
